Frequency (GHz),VertexIndex,vertex_X (mm),vertex_Y (mm),vertex_Z (mm),Re( Total B x ) (T),Im( Total B x ) (T),Re( Total B y ) (T),Im( Total B y ) (T),Re( Total B z ) (T),Im( Total B z ) (T)
0.1,14028,6.04792451,66.8630674,-55.4496609,7.75535469e-10,-2.56260235e-10,4.96497218e-11,6.34772235e-11,-4.12798823e-10,-1.60922761e-10
0.1,14029,6.04792451,65.9543574,-52.5478944,8.18015211e-10,-3.09091835e-10,5.33465529e-11,6.53455345e-11,-4.8354859e-10,-1.81693341e-10
0.1,14030,6.04792451,65.9543574,-61.2531938,8.0002488e-10,-1.74659259e-10,3.09439002e-11,5.52357673e-11,-3.15830223e-10,-1.32003117e-10
0.1,14031,6.04792451,66.8630674,-58.3514273,7.73346664e-10,-2.11472492e-10,4.13878931e-11,5.99768638e-11,-3.58176849e-10,-1.44587106e-10
0.1,14032,6.04792451,65.9543574,-58.3514273,8.08910494e-10,-2.14920498e-10,3.72259029e-11,5.81944076e-11,-3.59455271e-10,-1.45352883e-10
0.1,14033,6.04792451,65.9543574,-67.0567229,7.79958931e-10,-1.04570526e-10,2.09385825e-11,5.01418941e-11,-2.54604116e-10,-1.12228622e-10
0.1,14034,6.04792451,65.9543574,-64.1549602,7.89901977e-10,-1.38152073e-10,2.55511515e-11,5.26235895e-11,-2.81296819e-10,-1.21132826e-10
0.1,14035,6.04792451,65.0456399,102.997921,5.49849277e-09,-2.47070564e-09,-1.71493735e-08,-2.22042496e-09,2.94313729e-08,9.64170077e-09
0.1,14036,6.04792451,65.0456399,100.999311,1.7885009e-08,2.28016606e-10,-3.32870833e-08,-4.583395e-09,2.83948847e-08,1.08879163e-08
0.1,14037,6.04792451,65.0456399,101.99862,1.24862582e-08,-1.0681529e-09,-2.52460186e-08,-3.40140205e-09,2.96583949e-08,1.03973363e-08
0.1,14038,6.04792451,65.0456399,100.000001,2.22723493e-08,1.61575986e-09,-4.38400711e-08,-6.14212325e-09,2.60221942e-08,1.10857403e-08
0.1,14039,6.04792451,65.0456399,99.1252586,2.4375673e-08,2.79587131e-09,-5.61740521e-08,-7.9692235e-09,2.38640201e-08,1.1084575e-08
0.1,14040,6.04792451,65.0456399,93.0020735,2.53185064e-08,8.08233036e-09,-1.49870644e-07,-2.1724162e-08,2.24595578e-08,9.06123088e-09
0.1,14041,6.04792451,65.9543574,93.0020735,6.0868814e-08,1.361785e-08,-1.49877934e-07,-2.20483329e-08,3.08361869e-08,1.02950102e-08
0.1,14042,6.04792451,65.9543574,93.8768163,5.71632022e-08,1.26052715e-08,-1.39707893e-07,-2.05461834e-08,3.22948388e-08,1.10741301e-08
0.1,14043,6.04792451,65.0456399,93.8768163,2.40944544e-08,7.44238671e-09,-1.39939019e-07,-2.02826076e-08,2.18102958e-08,9.51948653e-09
0.1,14044,6.04792451,127.146125,130.940825,-1.04758713e-09,2.21674623e-11,1.71022085e-10,1.28957928e-10,2.23724039e-10,1.10817085e-10
0.1,14045,6.04792451,65.0456399,88.5050744,3.28910659e-08,1.00178781e-08,-1.73240096e-07,-2.51178616e-08,1.80367241e-08,5.82888138e-09
0.1,14046,6.04792451,65.0456399,91.408439,2.78725025e-08,8.92695429e-09,-1.60915306e-07,-2.33258906e-08,2.22938876e-08,8.00833444e-09
